owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
jwasham,coding-interview-university,jwasham/coding-interview-university,2043,https://github.com/jwasham/coding-interview-university/pull/2043,Update programming-language-resources.md,open,2025-08-22T11:57:24Z,2026-04-02T21:57:43Z,2026-04-02T21:57:43Z,5362.005278,237,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,prerit1998jain,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2061,https://github.com/jwasham/coding-interview-university/pull/2061,docs : added,open,2025-12-29T10:39:25Z,2026-04-02T21:51:57Z,2026-04-02T21:51:57Z,2267.208889,3,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,tmselman,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1989,https://github.com/jwasham/coding-interview-university/pull/1989,Create change_me.md,open,2025-03-21T13:04:05Z,2026-04-02T21:48:09Z,2026-04-02T21:48:09Z,9056.734444,0,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,richard-vu,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2083,https://github.com/jwasham/coding-interview-university/pull/2083,fix: harden GitHub Actions workflows,open,2026-03-30T04:33:29Z,2026-03-30T04:33:29Z,2026-03-30T04:33:29Z,0.000000,1041,1,5,5,10,0,0,0,0,1,NO_REVIEW,no_review,,,no,dagecko,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2082,https://github.com/jwasham/coding-interview-university/pull/2082,"Fix: Typo ""TThe"" corrected to ""The"" in String Matching section",open,2026-03-28T04:09:16Z,2026-03-28T04:09:16Z,2026-03-28T04:09:16Z,0.000000,127,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,Allwell987,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2064,https://github.com/jwasham/coding-interview-university/pull/2064,docs: add supplementary data-log to information theory/entropy section,open,2026-01-24T02:45:35Z,2026-02-12T02:01:27Z,2026-02-12T02:01:27Z,455.264444,752,1,9,0,9,1,0,1,0,1,NO_REVIEW,no_review,,,no,ayauho,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2066,https://github.com/jwasham/coding-interview-university/pull/2066,fix: link to sort methods subtitle in spanish docs,open,2026-02-08T23:34:58Z,2026-02-08T23:38:50Z,2026-02-08T23:38:50Z,0.064444,140,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,ignacioccugura,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2065,https://github.com/jwasham/coding-interview-university/pull/2065,Fix minor grammar in README,open,2026-01-31T12:07:57Z,2026-01-31T12:07:57Z,2026-01-31T12:07:57Z,0.000000,107,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,Jayanthiclaretdevaraj,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2062,https://github.com/jwasham/coding-interview-university/pull/2062,docs: Update outdated GitHub Actions version,open,2026-01-14T16:13:03Z,2026-01-14T16:13:22Z,2026-01-14T16:13:22Z,0.005278,140,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,pgoslatara,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2051,https://github.com/jwasham/coding-interview-university/pull/2051,b,closed,2025-09-27T17:51:28Z,2026-01-11T22:40:34Z,2026-01-11T22:40:34Z,2548.818333,1,1,1,0,1,0,0,0,1,2,COMMENTED,neutral,COMMENTED,andrzejsydor,yes,AndreRaz,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2057,https://github.com/jwasham/coding-interview-university/pull/2057,commit for separate branch,open,2025-12-04T09:28:14Z,2026-04-02T21:54:59Z,2026-04-02T21:54:59Z,2868.445833,35,1,0,0,0,1,0,1,0,1,NO_REVIEW,no_review,,,no,nandini627,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,11,https://github.com/jwasham/coding-interview-university/pull/11,Fixing typos.,closed,2016-10-07T00:45:34Z,2025-10-20T17:01:57Z,2025-10-20T17:01:57Z,79216.273056,6,1,4,4,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,Carmezim,2016-10-07T01:10:12Z,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,2036,https://github.com/jwasham/coding-interview-university/pull/2036,Big O,closed,2025-07-17T09:13:49Z,2025-07-17T09:18:38Z,2025-07-17T09:18:38Z,0.080278,0,4,809,0,809,0,0,0,0,1,NO_REVIEW,no_review,,,no,NguyenNhatTien333,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1991,https://github.com/jwasham/coding-interview-university/pull/1991,Removed the sponsorship option from all README files.,open,2025-03-28T06:13:21Z,2025-03-28T17:41:37Z,2025-03-28T17:41:37Z,11.471111,0,1,5,0,5,0,0,0,1,2,COMMENTED,neutral,COMMENTED,andrzejsydor,yes,Antonio-mas,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1976,https://github.com/jwasham/coding-interview-university/pull/1976,"Removed "")"" ",open,2025-01-21T19:05:00Z,2025-01-21T19:05:00Z,2025-01-21T19:05:00Z,0.000000,0,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,saisrikardumpeti,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1968,https://github.com/jwasham/coding-interview-university/pull/1968,Add new site to DevOps learning resource,open,2025-01-13T07:09:08Z,2025-01-13T07:09:08Z,2025-01-13T07:09:08Z,0.000000,0,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,jackieoft,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1967,https://github.com/jwasham/coding-interview-university/pull/1967,Update README.md to include bugfree.ai,open,2025-01-06T02:49:03Z,2025-01-06T02:49:03Z,2025-01-06T02:49:03Z,0.000000,55,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,gitbao-code,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,208,https://github.com/jwasham/coding-interview-university/pull/208,Watched some videos,closed,2017-05-20T13:25:06Z,2025-01-02T05:57:05Z,2025-01-02T05:57:05Z,66808.533056,0,1,10,10,20,0,0,0,0,1,NO_REVIEW,no_review,,,no,Kiwwa,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1545,https://github.com/jwasham/coding-interview-university/pull/1545,some changes,closed,2024-09-15T18:36:34Z,2024-09-15T18:37:39Z,2024-09-15T18:37:39Z,0.018056,0,1,10,10,20,0,0,0,0,1,NO_REVIEW,no_review,,,no,IslamHesham-Dev,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1542,https://github.com/jwasham/coding-interview-university/pull/1542,Update,closed,2024-09-15T01:38:23Z,2024-09-15T02:55:24Z,2024-09-15T02:55:24Z,1.283611,0,1,9,9,18,1,0,1,0,1,NO_REVIEW,no_review,,,no,nomuun,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1533,https://github.com/jwasham/coding-interview-university/pull/1533,Marcado con X en tareas completadas,closed,2024-08-24T16:59:40Z,2024-08-24T22:25:08Z,2024-08-24T22:25:08Z,5.424444,0,1,0,0,0,1,0,1,0,1,NO_REVIEW,no_review,,,no,vici-aft,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1532,https://github.com/jwasham/coding-interview-university/pull/1532,Updates from origin repo,closed,2024-08-20T16:37:07Z,2024-08-20T16:37:48Z,2024-08-20T16:37:48Z,0.011389,0,22,85,35298,35383,0,0,0,0,1,NO_REVIEW,no_review,,,no,danamira,,1026,280,95,0.050000
jwasham,coding-interview-university,jwasham/coding-interview-university,1529,https://github.com/jwasham/coding-interview-university/pull/1529,Add back to top,closed,2024-08-15T07:11:00Z,2024-08-16T15:34:45Z,2024-08-16T15:34:45Z,32.395833,0,1,65,0,65,2,0,2,0,1,NO_REVIEW,no_review,,,no,sofwanaldirikhaldi,2024-08-16T00:07:38Z,1026,280,95,0.050000
